Year,Month,Country,Model,Segment,Engine_Type, Price_Usd , Marketing_Spend_Usd ,Dealership_Count, Fuel_Price_Usd ,Gdp_Growth_Percent,Interest_Rate_Percent,Competition_Index,Units_Sold,Gross Revenue,Net Revenue
2021,Jan,Australia,X1,SUV,Petrol," $82,234.00 "," $315,372.00 ",96, $0.97 ,6.29,1.2,8,324," $26,643,816.00 "," $26,328,444.00 "
2018,Aug,Australia,I4,Sedan,Electric," $82,291.00 "," $447,798.00 ",234, $0.97 ,6.29,1.2,7,556," $45,753,796.00 "," $45,305,998.00 "
2022,Dec,USA,5 SERIES,Sedan,Hybrid," $40,594.00 "," $259,755.00 ",25, $0.97 ,6.29,1.2,7,152," $6,170,288.00 "," $5,910,533.00 "
2019,Nov,Australia,I7,Sedan,Electric," $42,371.00 "," $323,541.00 ",319, $0.97 ,6.29,1.2,5,730," $30,930,830.00 "," $30,607,289.00 "
2021,Dec,Brazil,X5,SUV,Diesel," $82,315.00 "," $482,015.00 ",367, $0.97 ,6.29,1.2,2,1156," $95,156,140.00 "," $94,674,125.00 "
2024,Dec,China,I7,Sedan,Diesel," $118,564.00 "," $349,155.00 ",172, $0.97 ,6.29,1.2,6,687," $81,453,468.00 "," $81,104,313.00 "
2017,Apr,USA,I4,Sedan,Diesel," $114,526.00 "," $129,183.00 ",107, $0.97 ,6.29,1.2,10,439," $50,276,914.00 "," $50,147,731.00 "
2021,Apr,USA,X7,SUV,Diesel," $51,626.00 "," $405,398.00 ",165, $0.97 ,6.29,1.2,3,489," $25,245,114.00 "," $24,839,716.00 "
2022,May,India,3 SERIES,Sedan,Petrol," $42,130.00 "," $487,480.00 ",11, $0.97 ,6.29,1.2,4,435," $18,326,550.00 "," $17,839,070.00 "
2019,Aug,UK,7 SERIES,Sedan,Petrol," $41,828.00 "," $92,317.00 ",359, $0.97 ,6.29,1.2,10,1080," $45,174,240.00 "," $45,081,923.00 "
